cidr,sblid,rir,type,timestamp,size,records,copyright,terms
103.241.194.0/23,SBL691779,apnic,,,,,,
103.243.240.0/22,SBL220056,apnic,,,,,,
103.248.68.0/22,SBL220034,apnic,,,,,,
103.249.72.0/22,SBL258918,apnic,,,,,,
103.250.224.0/22,SBL689688,apnic,,,,,,
103.253.216.0/22,SBL220045,apnic,,,,,,
103.254.108.0/22,SBL657512,apnic,,,,,,
103.255.56.0/22,SBL677756,apnic,,,,,,
104.37.1.0/24,SBL679083,arin,,,,,,
104.152.52.0/24,SBL683405,arin,,,,,,
104.167.19.0/24,SBL692281,ripencc,,,,,,
104.167.25.0/24,SBL692282,ripencc,,,,,,
104.193.228.0/22,SBL294936,arin,,,,,,
104.244.56.0/21,SBL294937,arin,,,,,,
104.244.80.0/22,SBL288111,arin,,,,,,
104.250.163.0/24,SBL682263,arin,,,,,,
104.250.164.0/24,SBL683393,arin,,,,,,
104.250.184.0/24,SBL692270,arin,,,,,,
106.48.64.0/18,SBL681779,apnic,,,,,,
106.95.0.0/16,SBL434614,apnic,,,,,,
107.155.224.0/22,SBL616009,arin,,,,,,
107.182.240.0/20,SBL390277,arin,,,,,,
109.120.136.0/24,SBL689996,ripencc,,,,,,
109.202.104.0/24,SBL692427,ripencc,,,,,,
109.202.246.0/24,SBL691733,ripencc,,,,,,
110.34.48.0/22,SBL680499,apnic,,,,,,
110.34.56.0/22,SBL677717,apnic,,,,,,
110.44.104.0/22,SBL664310,apnic,,,,,,
110.44.144.0/20,SBL635340,apnic,,,,,,
110.48.0.0/18,SBL677423,apnic,,,,,,
110.48.192.0/18,SBL675594,apnic,,,,,,
110.172.192.0/20,SBL677322,apnic,,,,,,
111.66.64.0/18,SBL677407,apnic,,,,,,
111.68.64.0/19,SBL677424,apnic,,,,,,
111.90.156.0/24,SBL620128,apnic,,,,,,
111.90.157.0/24,SBL628287,apnic,,,,,,
111.92.128.0/19,SBL678926,apnic,,,,,,
